Index#,Composition,a,b,c,v,b1,b2,b3,l1,p1,i1,e1,v1,c1,l2,p2,i2,e2,v2,c2,l3,p3,i3,e3,v3,c3,d1,d2,d3,a1,a2,a3,d4,d5,d6,a4,a5,a6,d7,d8,d9,a7,d0,EA (eV),S/U
24,AlSi,9.81202,5.56744,4.67024,255.125096,1.08954,3.058323333,3.037916667,2.103,11.7703,0.03627,1.037,111.3145,5.5698,1.9393,9.476,0.0341,1.0189,60.0825,5.6573,1.6462,2.2399,0.01389,1.0149,62.0129,3.9697,2.99649,2.67173,2.73139,90.6329,87.0519,57.2725,3.19236,3.55241,3.08015,132.4985,125.0059,117.048,3.65548,5.99298,7.01743,117.4081,5.34346,0.1958,S
25,AlSn,10.32831,5.58393,5.12967,295.84138,1.12334,3.00855,3.65872,2.2149,13.5258,0.11001,1.0612,107.8988,2.3022,1.9504,9.8195,0.03338,1.0064,14.3182,5.6489,1.9668,3.5904,0.0129,1.0578,249.6822,3.9611,3.05307,3.07262,2.9881,85.7376,87.691,58.3909,3.52227,3.7967,3.14977,133.1433,126.5188,113.5295,3.80056,6.10614,7.59339,120.4037,6.14525,,
26,GaSi,10.01286,5.7256,4.74294,271.910887,1.104683333,3.342366667,3.053013333,2.119,12.0893,0.02598,1.0334,107.2003,5.7983,2.0128,10.5569,0.02932,1.0209,69.847,5.749,1.6496,2.2556,0.01347,1.0144,61.5973,3.9715,3.07635,2.69996,2.79132,92.0813,88.2477,57.3502,3.2305,3.62182,3.15313,129.6431,125.0514,118.7323,3.74327,6.15271,7.11729,117.0291,5.39992,0.26188,S
27,GaSn,10.50801,5.75451,5.20106,314.499898,1.13771,3.327956667,3.592063333,2.2144,13.6956,0.09592,1.0486,92.2019,2.7227,2.0265,10.997,0.02882,1.0071,19.4615,5.7502,1.9674,3.6163,0.01183,1.0533,236.4976,3.9676,3.12772,3.0928,3.03004,87.3934,88.9793,58.2976,3.5321,3.84646,3.21495,128.7621,127.0254,114.7782,3.88991,6.25544,7.69292,120.2143,6.18561,,
28,InSn,11.16297,6.1053,5.3265,363.018924,1.15317,3.403396667,3.32536,2.2512,14.5617,0.07349,1.0365,82.0649,3.8773,2.2002,13.9721,0.01528,1.0112,39.5467,5.9351,1.9683,3.6746,0.01353,1.0431,192.5214,3.9697,3.32473,3.11764,3.15036,89.9479,88.4818,58.4449,3.59543,3.97943,3.31987,122.107,126.5452,115.1514,4.06396,6.64945,7.95885,119.0239,6.23528,,
29,BaAs,11.26556,7.61458,4.88171,418.765433,1.091573333,2.72053,3.04777,2.2588,14.3026,0.07699,1.0567,145.0289,3.6912,2.7518,22.2996,0.03659,1.1598,475.5299,5.587,1.7208,2.6082,0.00322,1.0017,7.2695,3.998,3.84184,2.65796,3.5697,101.8694,90.8497,63.597,3.43489,4.44188,3.75716,99.3617,124.401,127.4783,4.60256,7.68367,6.95051,116.3182,5.31591,,
30,BaP,10.95933,7.45882,4.78254,390.942316,1.08618,2.705666667,3.09427,2.24,13.6685,0.091,1.0749,180.067,3.7646,2.7315,21.8462,0.02356,1.1574,483.907,5.8158,1.5599,1.9455,0.0049,1.0008,3.5116,3.9954,3.78519,2.57409,3.43355,102.7728,92.5586,61.9473,3.37748,4.31462,3.74591,100.2767,121.9937,131.0563,4.52643,7.57037,6.72351,113.5058,5.14818,,
31,BaSb,12.47555,7.22102,5.31282,478.611562,1.13465,2.688803333,3.123116667,2.3127,16.0468,0.02917,1.0194,64.1664,5.7428,2.6921,23.5437,0.03069,1.07,229.6495,5.7378,1.9038,3.4751,0.0039,1.0127,54.8701,3.9979,3.84948,2.91515,3.5813,99.4478,89.6923,62.1322,3.74058,4.50425,3.7295,110.2923,128.7984,121.786,4.51378,7.69896,8.20664,118.1672,5.83031,0.79415,U
32,ScSn,10.99859,5.96917,5.29475,347.613463,1.16446,3.911446667,3.501193333,2.2894,15.0409,0.0938,1.0539,106.9067,2.966,2.1203,12.5419,0.02177,1.0094,31.9645,5.8778,1.9665,3.6671,0.01368,1.0426,182.7351,3.9687,3.29025,3.15036,3.09961,87.4813,86.6629,57.4862,3.6129,3.9062,3.27669,127.7731,124.399,114.5782,4.00585,6.58049,7.81239,118.4852,6.30071,,
33,YGe,11.1906,6.32323,5.08674,359.941358,1.14474,3.809383333,3.068706667,2.2444,14.5403,0.02803,1.0253,85.1996,5.7954,2.2721,15.0766,0.02013,1.0252,89.1496,5.9066,1.7911,2.874,0.01366,1.0175,76.0741,3.972,3.43166,2.87783,3.08895,94.7152,86.7301,57.8291,3.49184,3.94966,3.40194,121.2189,125.5905,118.9095,4.08788,6.86333,7.83253,116.9418,5.75566,,
34,YSi,10.8217,6.32249,4.90862,335.848297,1.127253333,3.765483333,2.959526667,2.2079,13.7517,0.01783,1.0292,100.8445,5.9113,2.2698,14.7733,0.01952,1.037,129.8316,5.9083,1.6489,2.2719,0.01295,1.0086,37.573,3.9742,3.39564,2.71787,3.00636,97.3188,88.2393,57.6412,3.37998,3.88749,3.42514,121.8681,125.1251,122.637,4.04566,6.79129,7.37321,115.4193,5.43573,0.515,S
35,YSn,11.53118,6.2922,5.37043,389.659294,1.166976667,3.819676667,3.25394,2.3016,15.6333,0.06208,1.0321,76.1267,4.4399,2.2769,15.3945,0.02027,1.0153,53.8978,5.904,1.9654,3.7068,0.01386,1.034,146.1629,3.9713,3.44948,3.09981,3.227,90.8316,86.2757,58.75,3.633,4.06529,3.40232,120.6486,126.8809,115.5781,4.15292,6.89895,8.13058,118.0691,6.19962,,
36,NdGe,11.31785,6.60588,5.10017,381.310773,1.14586,3.99519,3.04696,2.2496,14.7608,0.00915,1.0189,69.8956,5.9785,2.3706,16.8479,0.02261,1.0364,126.9007,5.8786,1.7918,2.8912,0.01228,1.0142,61.8723,3.9772,3.53685,2.82641,3.19364,97.6924,87.1659,58.9956,3.48123,4.07016,3.52754,115.6761,127.3438,121.4092,4.21388,7.07371,7.69833,116.932,5.65282,0.45409,S
37,NdSi,10.31656,6.81937,4.83443,340.113757,1.09838,3.971966667,2.898386667,2.1758,13.2292,0.05292,1.029,79.0531,5.0778,2.3946,16.1415,0.02811,1.0885,293.9704,5.8097,1.6457,2.2702,0.00605,1.0051,21.5588,3.9936,3.47416,2.58922,3.13326,100.6191,88.7213,60.1426,3.19244,4.0059,3.59958,106.0272,127.1643,128.7376,4.25874,6.94832,6.73687,115.3746,5.17844,1.3631,U
38,NdSn,11.84517,6.5106,5.39827,416.310116,1.177806667,3.998423333,3.20198,2.3205,16.1192,0.04911,1.0258,70.3999,5.1054,2.3709,17.2088,0.02208,1.0221,77.6063,5.8846,1.9649,3.7214,0.01297,1.0307,132.981,3.9752,3.56137,3.08346,3.3153,92.6463,86.1753,59.3395,3.65771,4.15807,3.47646,117.5025,127.4256,116.0602,4.24878,7.12274,8.31613,117.8661,6.16691,,
39,PmGe,11.29225,6.53598,5.1077,376.978249,1.14853,3.96285,3.007933333,2.2513,14.788,0.01,1.0193,70.3493,5.9749,2.3468,16.4448,0.02148,1.0322,113.0495,5.8913,1.7922,2.8908,0.01316,1.0147,64.6308,3.9726,3.51672,2.83681,3.16544,97.4247,87.1688,58.6022,3.49213,4.04639,3.51436,117.1822,127.0881,121.123,4.18724,7.03345,7.72222,116.9618,5.67362,,
40,PmSi,10.76395,6.58796,4.90388,347.746104,1.121836667,3.93787,2.92975,2.2021,13.7099,0.03292,1.0267,88.4769,5.7299,2.3511,16.0346,0.02289,1.0536,184.331,5.876,1.6491,2.2784,0.01104,1.0069,30.0868,3.9813,3.45659,2.67749,3.09412,98.6082,88.5569,58.9637,3.3299,3.97745,3.51398,114.7754,126.6001,125.5728,4.16021,6.91317,7.18859,115.2204,5.35499,,
41,PmSn,11.78937,6.45635,5.3932,410.510566,1.167673333,3.967736667,3.208383333,2.3186,16.0318,0.05489,1.0286,74.5701,4.9042,2.3494,16.7905,0.02067,1.0202,71.1281,5.8995,1.9641,3.7092,0.01304,1.0321,138.9855,3.9744,3.5361,3.0949,3.28999,91.9864,86.1065,59.0447,3.65628,4.12913,3.45014,118.1913,126.9544,115.6074,4.22489,7.07221,8.25827,117.8138,6.18979,,
42,SmSi,10.84198,6.51214,4.91995,347.370291,1.12791,3.90354,2.937103333,2.2127,13.8595,0.02499,1.0287,98.7084,5.8445,2.3307,15.7615,0.02168,1.0473,164.0159,5.8911,1.6492,2.276,0.0117,1.0077,33.4506,3.9794,3.44983,2.71004,3.06874,97.9676,88.4586,58.2892,3.36179,3.94852,3.48438,117.5947,125.6724,124.5636,4.13146,6.89966,7.30096,115.1406,5.42007,,
43,SmGe,11.27619,6.49388,5.09373,372.994556,1.146403333,3.937766667,3.050543333,2.2453,14.6651,0.00895,1.0194,70.8203,5.9779,2.3327,16.1752,0.02151,1.0312,109.4529,5.8912,1.7917,2.8868,0.01349,1.0152,66.4494,3.9716,3.50425,2.83482,3.15339,97.3924,87.1314,58.5298,3.48823,4.02813,3.49329,117.8965,127.0571,120.6616,4.16548,7.0085,7.72204,117.0985,5.66964,0.3937,U
44,SmSn,11.74235,6.41969,5.39081,406.371641,1.17728,5.208826667,2.998386667,2.3159,15.9725,0.05477,1.0288,74.4208,4.864,2.3343,16.499,0.02051,1.0189,66.8855,5.9008,1.9642,3.7104,0.01352,1.032,138.4429,3.973,3.52147,3.09383,3.27574,91.942,86.1383,58.94,3.6553,4.11749,3.44617,118.9311,126.9085,115.6735,4.21014,7.04294,8.23498,117.9092,6.18766,,
45,TbGe,11.1528,6.34562,5.07967,359.494951,1.14529,3.873803333,3.058446667,2.2341,14.4422,0.01515,1.0198,70.0859,5.9458,2.2792,15.2062,0.02095,1.0258,90.6393,5.8953,1.7915,2.8809,0.01394,1.0163,70.709,3.9701,3.43525,2.83705,3.10291,95.9418,86.7461,58.3715,3.47396,3.97694,3.4395,119.9289,127.0862,119.8918,4.09669,6.8705,7.73086,117.1455,5.67411,,
